Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C25, C37",0402,3,10uF,
"C10, C12, C22, C23, C24, C4, C7",0402,7,1uF,
"C11, C13",0402,2,18pF,
"C14, C16, C17, C2, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C38, C39, C40, C50, C51, C52, C8, C9",0402,23,0.1uF,
"C18, C20, C21",1206,3,150uF,
"C3, C54, C55, C56",0402,4,0.001uF,
"FB1, FB2, FB3, FB4, FB5",0201,5,220 @ 100 MHz,
"J5, J6, J7",USB-A-TH_C42622,3,USB_A,C42622
P2,USB_C_Plug_JAE_DX07P024AJ1,1,USB_C_Plug_USB2.0,
R1,0402,1,5.1K,
R10,0402,1,90.9K 0402 1%,
R11,0402,1,10K 0402 1%,
R12,0402,1,9.53K 0402 1%,
"R13, R14, R15",0402,3,4.7K 0402 5%,
R16,0402,1,4.7K,
"R17, R18, R19, R2, R3",0402,5,1M,
"R4, R5",0402,2,25.5K 0402 5%,
"R6, R7, R8",0402,3,10K 0402 5%,
U1,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm_ThermalVias,1,5.0V,
U2,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm_ThermalVias,1,3.3V,
"U3, U4",VSON-10-1EP_3x3mm_P0.5mm_EP1.65x2.4mm_ThermalVias,2,TPS2561,
U5,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm_ThermalVias,1,1.2V,
U7,HTQFP-64-1EP_10x10mm_P0.5mm_EP8x8mm_Mask4.4x4.4mm_ThermalVias,1,TUSB4041I,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24,
