Designator,Mid X,Mid Y,Rotation,Layer
C1,135.89,-100.35,90.0,top
C10,120.55,-100.54,270.0,top
C11,131.607735,-113.21,180.0,top
C12,122.14,-103.27,0.0,top
C13,133.287735,-118.46,180.0,top
C14,120.57,-130.37,90.0,top
C16,125.05,-130.38,90.0,top
C17,126.05,-130.39,90.0,top
C18,112.45,-131.98,90.0,top
C2,134.98,-106.68,180.0,top
C20,114.3,-103.56,90.0,top
C21,112.52,-116.11,90.0,top
C22,124.16,-100.53,270.0,top
C23,130.17,-123.57,180.0,top
C24,125.78,-103.43,0.0,top
C25,118.23,-109.39,0.0,top
C26,118.24,-110.4,0.0,top
C27,129.71,-113.66,270.0,top
C28,130.14,-120.05,180.0,top
C29,118.22,-125.41,90.0,top
C3,134.98,-105.71,180.0,top
C30,116.78,-126.95,180.0,top
C31,116.78,-125.91,180.0,top
C32,116.78,-124.95,180.0,top
C33,120.53,-110.43,180.0,top
C34,124.27,-109.95,270.0,top
C35,129.74,-117.57,90.0,top
C36,130.15,-121.03,180.0,top
C37,123.29,-109.95,270.0,top
C38,111.97,-102.09,270.0,top
C39,112.76,-119.66,270.0,top
C4,116.92,-100.53,270.0,top
C40,111.81,-137.19,90.0,top
C50,113.05,-99.96,90.0,top
C51,112.36,-128.09,0.0,top
C52,112.89,-145.28,90.0,top
C54,114.17,-99.96,90.0,top
C55,112.35,-129.09,0.0,top
C56,113.91,-145.3,90.0,top
C7,118.53,-103.19,0.0,top
C8,120.47,-136.17,180.0,top
C9,124.85,-136.15,180.0,top
FB1,121.95,-104.12,0.0,top
FB2,125.62,-104.29,180.0,top
FB3,111.97,-103.51,180.0,top
FB4,111.78,-119.32,270.0,top
FB5,111.68,-135.44,270.0,top
J5,109.0795,-123.119833,270.0,top
J6,109.0795,-106.982166,270.0,top
J7,109.0795,-139.2575,270.0,top
P2,138.9125,-102.08,90.0,top
R1,135.43,-101.82,180.0,top
R10,127.71,-125.34,90.0,top
R11,128.74,-125.34,90.0,top
R12,128.71,-110.37,0.0,top
R13,124.75,-125.31,90.0,top
R14,130.18,-122.59,180.0,top
R15,122.22,-125.33,90.0,top
R16,123.26,-125.32,270.0,top
R17,111.86,-99.98,90.0,top
R18,112.37,-127.1,0.0,top
R19,111.88,-145.26,90.0,top
R2,134.98,-107.72,180.0,top
R3,129.72,-115.57,270.0,top
R4,127.0,-130.33,90.0,top
R5,122.01,-130.83,0.0,top
R6,125.7,-127.23,90.0,top
R7,126.71,-127.21,270.0,top
R8,123.84,-129.99,90.0,top
U1,118.6925,-100.9575,90.0,top
U2,122.3175,-100.9575,90.0,top
U3,125.44,-133.475,90.0,top
U4,120.99,-133.485,90.0,top
U5,125.9425,-100.9575,90.0,top
U7,122.49,-117.64,90.0,top
Y1,131.957735,-115.81,270.0,top
